ruleId,priority,requiredSubstanceId,requiredTags,requiredHistorySequence,requiredDiscoveredSubstanceIds,requiredUndiscoveredSubstanceIds,resultSubstanceId,resultAmount
worker_camera_room_alive,900,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|node:node_place_room,,,person_worker,1
worker_camera_o_death,900,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|node:node_place_hole,,,person_worker_dead_1,1
worker_camera_hallway_room_alive,900,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|node:node_place_hallway|node:node_place_room,,,person_worker,1
worker_camera_h_o_alive,900,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|node:node_place_hallway|node:node_place_hole,,,person_worker,1
worker_camera_room_hallway_death,900,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|node:node_place_room|node:node_place_hallway,,,person_worker_dead_1,1
worker_camera_r_o_alive,900,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|node:node_place_room|node:node_place_hole,,,person_worker,1
worker_camera_o_h_death,900,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|node:node_place_hole|node:node_place_hallway,,,person_worker_dead_1,1
worker_camera_o_r_alive,900,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|node:node_place_hole|node:node_place_room,,,person_worker,1
worker_ultra_h_death,890,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_ultrasonic_sensor|node:node_place_hallway,,,person_worker_dead_1,1
worker_ultra_r_alive,890,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_ultrasonic_sensor|node:node_place_room,,,person_worker,1
worker_ultra_o_alive,890,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_ultrasonic_sensor|node:node_place_hole,,,person_worker,1
worker_ultra_h_r_alive,890,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_ultrasonic_sensor|node:node_place_hallway|node:node_place_room,,,person_worker,1
worker_ultra_h_o_alive,890,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_ultrasonic_sensor|node:node_place_hallway|node:node_place_hole,,,person_worker,1
worker_ultra_r_h_death,890,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_ultrasonic_sensor|node:node_place_room|node:node_place_hallway,,,person_worker_dead_1,1
worker_ultra_r_o_alive,890,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_ultrasonic_sensor|node:node_place_room|node:node_place_hole,,,person_worker,1
worker_ultra_o_h_death,890,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_ultrasonic_sensor|node:node_place_hole|node:node_place_hallway,,,person_worker_dead_1,1
worker_ultra_o_r_alive,890,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_ultrasonic_sensor|node:node_place_hole|node:node_place_room,,,person_worker,1
worker_flash_h_death,880,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_flashlight|node:node_place_hallway,,,person_worker_dead_1,1
worker_flash_r_alive,880,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_flashlight|node:node_place_room,,,person_worker,1
worker_flash_o_death,880,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_flashlight|node:node_place_hole,,,person_worker_dead_1,1
worker_flash_h_r_alive,880,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_flashlight|node:node_place_hallway|node:node_place_room,,,person_worker,1
worker_flash_h_o_death,880,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_flashlight|node:node_place_hallway|node:node_place_hole,,,person_worker_dead_1,1
worker_flash_r_h_death,880,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_flashlight|node:node_place_room|node:node_place_hallway,,,person_worker_dead_1,1
worker_flash_r_o_alive,880,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_flashlight|node:node_place_room|node:node_place_hole,,,person_worker,1
worker_flash_o_h_death,880,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_flashlight|node:node_place_hole|node:node_place_hallway,,,person_worker_dead_1,1
worker_flash_o_r_alive,880,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_flashlight|node:node_place_hole|node:node_place_room,,,person_worker,1
worker_recorder_h_death,870,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_recorder|node:node_place_hallway,,,person_worker_dead_1,1
worker_recorder_r_alive,870,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_recorder|node:node_place_room,,,person_worker,1
worker_recorder_o_death,870,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_recorder|node:node_place_hole,,,person_worker_dead_1,1
worker_recorder_h_r_alive,870,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_recorder|node:node_place_hallway|node:node_place_room,,,person_worker,1
worker_recorder_h_o_death,870,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_recorder|node:node_place_hallway|node:node_place_hole,,,person_worker_dead_1,1
worker_recorder_r_h_death,870,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_recorder|node:node_place_room|node:node_place_hallway,,,person_worker_dead_1,1
worker_recorder_r_o_alive,870,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_recorder|node:node_place_room|node:node_place_hole,,,person_worker,1
worker_recorder_o_h_death,870,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_recorder|node:node_place_hole|node:node_place_hallway,,,person_worker_dead_1,1
worker_recorder_o_r_alive,870,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_recorder|node:node_place_hole|node:node_place_room,,,person_worker,1
worker_cam_ultra_h_alive,940,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_ultrasonic_sensor|node:node_place_hallway,,,person_worker,1
worker_cam_ultra_r_alive,940,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_ultrasonic_sensor|node:node_place_room,,,person_worker,1
worker_cam_ultra_o_alive,940,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_ultrasonic_sensor|node:node_place_hole,,,person_worker,1
worker_camera_ultrasonic_hallway_room_success,940,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_ultrasonic_sensor|node:node_place_hallway|node:node_place_room,,,person_worker,1
worker_cam_ultra_h_o_alive,940,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_ultrasonic_sensor|node:node_place_hallway|node:node_place_hole,,,person_worker,1
worker_cam_ultra_r_h_death,940,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_ultrasonic_sensor|node:node_place_room|node:node_place_hallway,,,person_worker_dead_1,1
worker_cam_ultra_r_o_alive,940,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_ultrasonic_sensor|node:node_place_room|node:node_place_hole,,,person_worker,1
worker_cam_ultra_o_h_death,940,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_ultrasonic_sensor|node:node_place_hole|node:node_place_hallway,,,person_worker_dead_1,1
worker_cam_ultra_o_r_alive,940,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_ultrasonic_sensor|node:node_place_hole|node:node_place_room,,,person_worker,1
worker_cam_flash_h_alive,930,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_flashlight|node:node_place_hallway,,,person_worker,1
worker_cam_flash_r_alive,930,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_flashlight|node:node_place_room,,,person_worker,1
worker_cam_flash_o_death,930,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_flashlight|node:node_place_hole,,,person_worker_dead_1,1
worker_cam_flash_h_r_alive,930,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_flashlight|node:node_place_hallway|node:node_place_room,,,person_worker,1
worker_cam_flash_h_o_alive,930,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_flashlight|node:node_place_hallway|node:node_place_hole,,,person_worker,1
worker_cam_flash_r_h_death,930,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_flashlight|node:node_place_room|node:node_place_hallway,,,person_worker_dead_1,1
worker_cam_flash_r_o_alive,930,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_flashlight|node:node_place_room|node:node_place_hole,,,person_worker,1
worker_cam_flash_o_h_death,930,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_flashlight|node:node_place_hole|node:node_place_hallway,,,person_worker_dead_1,1
worker_cam_flash_o_r_alive,930,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_flashlight|node:node_place_hole|node:node_place_room,,,person_worker,1
worker_cam_rec_h_alive,920,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_recorder|node:node_place_hallway,,,person_worker,1
worker_cam_rec_r_alive,920,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_recorder|node:node_place_room,,,person_worker,1
worker_cam_rec_o_death,920,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_recorder|node:node_place_hole,,,person_worker_dead_1,1
worker_cam_rec_h_r_alive,920,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_recorder|node:node_place_hallway|node:node_place_room,,,person_worker,1
worker_cam_rec_h_o_alive,920,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_recorder|node:node_place_hallway|node:node_place_hole,,,person_worker,1
worker_cam_rec_r_h_death,920,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_recorder|node:node_place_room|node:node_place_hallway,,,person_worker_dead_1,1
worker_cam_rec_r_o_alive,920,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_recorder|node:node_place_room|node:node_place_hole,,,person_worker,1
worker_cam_rec_o_h_death,920,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_recorder|node:node_place_hole|node:node_place_hallway,,,person_worker_dead_1,1
worker_cam_rec_o_r_alive,920,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_recorder|node:node_place_hole|node:node_place_room,,,person_worker,1
worker_ultra_flash_h_death,910,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_ultrasonic_sensor|edgeBlock:edgeblock_tool_flashlight|node:node_place_hallway,,,person_worker_dead_1,1
worker_ultra_flash_r_alive,910,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_ultrasonic_sensor|edgeBlock:edgeblock_tool_flashlight|node:node_place_room,,,person_worker,1
worker_ultra_flash_o_alive,910,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_ultrasonic_sensor|edgeBlock:edgeblock_tool_flashlight|node:node_place_hole,,,person_worker,1
worker_ultra_flash_h_r_alive,910,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_ultrasonic_sensor|edgeBlock:edgeblock_tool_flashlight|node:node_place_hallway|node:node_place_room,,,person_worker,1
worker_ultra_flash_h_o_alive,910,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_ultrasonic_sensor|edgeBlock:edgeblock_tool_flashlight|node:node_place_hallway|node:node_place_hole,,,person_worker,1
worker_ultra_flash_r_h_death,910,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_ultrasonic_sensor|edgeBlock:edgeblock_tool_flashlight|node:node_place_room|node:node_place_hallway,,,person_worker_dead_1,1
worker_ultra_flash_r_o_alive,910,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_ultrasonic_sensor|edgeBlock:edgeblock_tool_flashlight|node:node_place_room|node:node_place_hole,,,person_worker,1
worker_ultra_flash_o_h_death,910,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_ultrasonic_sensor|edgeBlock:edgeblock_tool_flashlight|node:node_place_hole|node:node_place_hallway,,,person_worker_dead_1,1
worker_ultra_flash_o_r_alive,910,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_ultrasonic_sensor|edgeBlock:edgeblock_tool_flashlight|node:node_place_hole|node:node_place_room,,,person_worker,1
worker_all_h_alive,950,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_ultrasonic_sensor|edgeBlock:edgeblock_tool_flashlight|edgeBlock:edgeblock_tool_recorder|node:node_place_hallway,,,person_worker,1
worker_all_r_alive,950,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_ultrasonic_sensor|edgeBlock:edgeblock_tool_flashlight|edgeBlock:edgeblock_tool_recorder|node:node_place_room,,,person_worker,1
worker_all_o_alive,950,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_ultrasonic_sensor|edgeBlock:edgeblock_tool_flashlight|edgeBlock:edgeblock_tool_recorder|node:node_place_hole,,,person_worker,1
worker_all_tools_hallway_room_success,950,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_ultrasonic_sensor|edgeBlock:edgeblock_tool_flashlight|edgeBlock:edgeblock_tool_recorder|node:node_place_hallway|node:node_place_room,,,person_worker,1
worker_all_h_o_alive,950,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_ultrasonic_sensor|edgeBlock:edgeblock_tool_flashlight|edgeBlock:edgeblock_tool_recorder|node:node_place_hallway|node:node_place_hole,,,person_worker,1
worker_all_r_h_death,950,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_ultrasonic_sensor|edgeBlock:edgeblock_tool_flashlight|edgeBlock:edgeblock_tool_recorder|node:node_place_room|node:node_place_hallway,,,person_worker_dead_1,1
worker_all_r_o_alive,950,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_ultrasonic_sensor|edgeBlock:edgeblock_tool_flashlight|edgeBlock:edgeblock_tool_recorder|node:node_place_room|node:node_place_hole,,,person_worker,1
worker_all_o_h_death,950,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_ultrasonic_sensor|edgeBlock:edgeblock_tool_flashlight|edgeBlock:edgeblock_tool_recorder|node:node_place_hole|node:node_place_hallway,,,person_worker_dead_1,1
worker_all_o_r_alive,950,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|edgeBlock:edgeblock_tool_ultrasonic_sensor|edgeBlock:edgeblock_tool_flashlight|edgeBlock:edgeblock_tool_recorder|node:node_place_hole|node:node_place_room,,,person_worker,1
worker_dead_scan,1000,person_worker_dead_1,,node:node_unique_scan,,,evidence_death_certificate,1
